City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
206,Navahrudak,BY,53.6,25.8333,31.84,78,1,6.87,clear sky
207,Komsomolskiy,UZ,40.4272,71.7189,45.32,87,100,9.22,mist
208,Port Lincoln,AU,-34.7333,135.8667,73.45,53,100,1.25,light rain
209,Simnas,LT,54.4,23.65,34.88,76,1,7.09,clear sky
210,Jian,CN,27.1172,114.9793,71.8,78,100,1.19,overcast clouds
211,Belaya Gora,RU,68.5333,146.4167,-10.17,96,100,3.76,overcast clouds
212,Pevek,RU,69.7008,170.3133,-17.37,97,17,3.2,few clouds
213,Chapais,CA,49.7834,-74.8492,20.98,75,100,3.94,overcast clouds
214,Ajdabiya,LY,30.7554,20.2263,53.6,54,0,16.75,clear sky
215,Sorong,ID,-0.8833,131.25,80.01,84,100,7.23,overcast clouds
216,Hasaki,JP,35.7333,140.8333,46.8,65,7,12.46,clear sky
217,Kinlochleven,GB,56.7115,-4.9661,45.28,90,100,3.56,moderate rain
218,Skegness,GB,53.1436,0.3363,48.58,91,100,11.59,overcast clouds
219,Naze,JP,28.3667,129.4833,59.92,87,0,3.44,clear sky
220,Leningradskiy,RU,69.3833,178.4167,-8.1,89,6,5.23,clear sky
221,Virginia Beach,US,36.8529,-75.978,69.84,38,44,5.97,scattered clouds
222,Ozark,US,37.0209,-93.206,67.28,61,62,1.01,broken clouds
223,Amga,RU,60.8953,131.9608,-5.91,99,100,3.0,overcast clouds
224,Cherskiy,RU,68.75,161.3,-11.33,97,98,3.78,overcast clouds
225,Balakhninskiy,RU,58.0106,114.2769,-13.9,100,100,2.17,overcast clouds
226,Nemuro,JP,43.3236,145.575,30.58,97,100,13.8,light snow
227,Elban,RU,50.1018,136.5094,20.98,93,95,8.12,overcast clouds
228,Ararat,AM,39.8317,44.7049,32.34,53,100,13.58,overcast clouds
229,Balabac,PH,7.9868,117.0645,80.94,82,38,7.4,scattered clouds
230,Rio Gallegos,AR,-51.6226,-69.2181,68.05,40,75,14.97,broken clouds
231,Hobyo,SO,5.3505,48.5268,78.04,70,22,13.38,few clouds
232,Coahuayana,MX,18.7333,-103.6833,89.06,36,0,7.9,clear sky
233,Airai,TL,-8.9266,125.4092,59.76,88,69,2.64,broken clouds
234,Vicuna,CL,-30.0319,-70.7081,82.78,39,0,6.4,clear sky
235,Yeppoon,AU,-23.1333,150.7333,71.38,81,100,15.01,overcast clouds
236,Sanary-Sur-Mer,FR,43.1178,5.8001,55.62,77,96,5.99,overcast clouds
237,Togur,RU,58.3631,82.8265,-14.55,100,91,3.76,overcast clouds
238,Elko,US,41.0002,-115.5012,44.74,81,100,10.0,light rain
239,Cananea,MX,30.95,-110.3,76.75,9,0,5.19,clear sky
240,La Asuncion,VE,11.0333,-63.8628,76.96,82,95,15.21,overcast clouds
241,Upernavik,GL,72.7868,-56.1549,-4.97,92,100,12.48,overcast clouds
242,Katsuura,JP,35.1333,140.3,56.57,73,94,11.25,overcast clouds
243,Tarakan,ID,3.3,117.6333,79.45,83,25,3.2,scattered clouds
